Name,Date,Type,Duration(sec)
ct,21-02-2019 18:54,OUTGOING,43
ai,21-02-2019 18:53,OUTGOING,71
,21-02-2019 18:52,OUTGOING,10
ai,21-02-2019 18:44,INCOMING,57
ai,21-02-2019 17:14,INCOMING,118
ai,21-02-2019 17:06,INCOMING,471
ct,21-02-2019 14:42,INCOMING,525
ud,21-02-2019 13:21,INCOMING,59
ai,21-02-2019 12:04,INCOMING,401
ai,21-02-2019 11:55,OUTGOING,25
ai,21-02-2019 11:55,MISSED,0
sd,21-02-2019 10:09,OUTGOING,60
sd,21-02-2019 10:04,OUTGOING,144
,21-02-2019 10:01,OUTGOING,11
kp,21-02-2019 09:43,INCOMING,313
ai,20-02-2019 21:20,INCOMING,63
,20-02-2019 20:36,OUTGOING,26
ct,20-02-2019 19:08,INCOMING,11
ai,20-02-2019 18:44,INCOMING,416
ai,20-02-2019 18:31,INCOMING,504
,20-02-2019 16:31,ALL,0
,20-02-2019 16:19,INCOMING,123
ai,20-02-2019 15:25,INCOMING,132
,20-02-2019 14:52,ALL,0
dn,20-02-2019 14:47,OUTGOING,0
rc,20-02-2019 14:08,OUTGOING,14
,20-02-2019 13:19,INCOMING,15
ai,20-02-2019 11:59,INCOMING,47
ai,20-02-2019 11:53,INCOMING,150
ai,20-02-2019 11:52,OUTGOING,0
ai,20-02-2019 11:13,OUTGOING,0
ct,20-02-2019 11:09,OUTGOING,166
sd,20-02-2019 11:09,OUTGOING,12
,20-02-2019 11:08,OUTGOING,12
,20-02-2019 11:07,OUTGOING,26
,20-02-2019 10:40,ALL,0
,20-02-2019 10:36,INCOMING,1540
,20-02-2019 09:48,OUTGOING,24
,20-02-2019 09:43,MISSED,0
,20-02-2019 09:41,MISSED,0
ct,20-02-2019 09:01,INCOMING,26
,19-02-2019 20:29,OUTGOING,36
,19-02-2019 20:28,INCOMING,16
,19-02-2019 20:24,OUTGOING,145
ct,19-02-2019 19:13,INCOMING,43
ct,19-02-2019 19:08,INCOMING,32
ai,19-02-2019 18:19,INCOMING,646
ai,19-02-2019 17:20,OUTGOING,356
,19-02-2019 17:02,MISSED,0
ai,19-02-2019 16:56,MISSED,0
ai,19-02-2019 16:01,INCOMING,78
ai,19-02-2019 15:59,INCOMING,77
ai,19-02-2019 15:57,INCOMING,69
,19-02-2019 15:37,ALL,0
ct,19-02-2019 14:47,INCOMING,198
ct,19-02-2019 14:41,OUTGOING,0
ct,19-02-2019 14:39,MISSED,0
sd,19-02-2019 14:00,OUTGOING,18
sd,19-02-2019 13:58,OUTGOING,18
sd,19-02-2019 13:56,OUTGOING,108
sd,19-02-2019 13:50,INCOMING,120
,19-02-2019 12:56,ALL,0
ai,19-02-2019 12:11,INCOMING,78
ct,19-02-2019 11:08,OUTGOING,181
ct,19-02-2019 11:08,ALL,0
ai,19-02-2019 10:32,OUTGOING,198
ct,19-02-2019 10:20,OUTGOING,0
sd,19-02-2019 10:18,OUTGOING,56
,19-02-2019 10:16,OUTGOING,15
ai,18-02-2019 20:42,OUTGOING,466
,18-02-2019 20:42,OUTGOING,0
sd,18-02-2019 20:37,INCOMING,34
,18-02-2019 20:36,INCOMING,5
,18-02-2019 20:33,OUTGOING,17
,18-02-2019 20:03,INCOMING,218
ai,18-02-2019 19:08,ALL,0
ct,18-02-2019 19:07,INCOMING,155
ai,18-02-2019 19:00,OUTGOING,241
ct,18-02-2019 18:55,INCOMING,23
ai,18-02-2019 18:53,OUTGOING,8
ct,18-02-2019 18:37,INCOMING,170
ct,18-02-2019 18:34,OUTGOING,0
ai,18-02-2019 18:21,INCOMING,130
ai,18-02-2019 18:05,INCOMING,34
ai,18-02-2019 17:53,OUTGOING,7
ai,18-02-2019 17:53,INCOMING,0
ai,18-02-2019 17:53,MISSED,0
ai,18-02-2019 16:57,INCOMING,314
ai,18-02-2019 16:27,INCOMING,392
ai,18-02-2019 16:24,OUTGOING,0
ai,18-02-2019 16:19,MISSED,0
ai,18-02-2019 15:52,INCOMING,74
ai,18-02-2019 15:00,INCOMING,119
ai,18-02-2019 14:57,OUTGOING,148
ai,18-02-2019 14:55,MISSED,0
,18-02-2019 13:21,INCOMING,52
ml,18-02-2019 11:02,OUTGOING,17
ml,18-02-2019 10:56,OUTGOING,57
ml,18-02-2019 10:52,INCOMING,50
ml,18-02-2019 10:41,OUTGOING,0
ct,18-02-2019 10:12,OUTGOING,144
sd,18-02-2019 10:11,OUTGOING,29
,18-02-2019 10:08,OUTGOING,6
ai,18-02-2019 09:54,INCOMING,217
,18-02-2019 08:12,OUTGOING,18
,17-02-2019 23:13,OUTGOING,23
,17-02-2019 23:06,OUTGOING,14
mm,17-02-2019 19:29,ALL,0
mm,17-02-2019 19:25,INCOMING,17
mm,17-02-2019 15:44,MISSED,0
ai,17-02-2019 15:27,OUTGOING,0
ai,17-02-2019 15:24,INCOMING,21
ai,17-02-2019 15:17,OUTGOING,20
ai,17-02-2019 15:02,OUTGOING,24
mm,17-02-2019 14:57,INCOMING,15
,17-02-2019 14:20,OUTGOING,19
ai,17-02-2019 13:29,OUTGOING,66
ma,17-02-2019 13:17,OUTGOING,0
,17-02-2019 13:15,OUTGOING,12
,17-02-2019 11:51,OUTGOING,11
,16-02-2019 20:55,OUTGOING,10
rc,16-02-2019 17:53,OUTGOING,25
rc,16-02-2019 17:53,OUTGOING,0
rc,16-02-2019 17:52,OUTGOING,0
,16-02-2019 16:15,OUTGOING,22
ai,16-02-2019 15:15,INCOMING,90
ct,16-02-2019 14:54,INCOMING,25
ai,16-02-2019 14:49,INCOMING,46
ai,16-02-2019 14:39,MISSED,0
ct,16-02-2019 14:32,OUTGOING,848
ct,16-02-2019 14:31,OUTGOING,0
ct,16-02-2019 14:30,OUTGOING,0
ct,16-02-2019 14:30,OUTGOING,0
ct,16-02-2019 14:29,MISSED,0
,16-02-2019 14:25,OUTGOING,9
md,16-02-2019 11:45,INCOMING,35
ct,16-02-2019 10:55,OUTGOING,48
ct,16-02-2019 10:45,OUTGOING,0
ct,16-02-2019 10:23,MISSED,0
ct,16-02-2019 10:17,OUTGOING,0
ct,16-02-2019 10:13,MISSED,0
ct,16-02-2019 01:06,OUTGOING,206
as,16-02-2019 01:03,INCOMING,14
ct,16-02-2019 00:49,OUTGOING,52
,16-02-2019 00:39,INCOMING,33
ai,16-02-2019 00:35,OUTGOING,11
ct,16-02-2019 00:31,INCOMING,40
,16-02-2019 00:15,OUTGOING,8
,16-02-2019 00:15,OUTGOING,1
,16-02-2019 00:14,OUTGOING,0
,16-02-2019 00:13,OUTGOING,26
,16-02-2019 00:11,OUTGOING,0
as,16-02-2019 00:10,INCOMING,76
,16-02-2019 00:06,OUTGOING,23
as,16-02-2019 00:02,MISSED,0
ct,16-02-2019 00:01,INCOMING,299
ct,15-02-2019 23:59,OUTGOING,0
ag,15-02-2019 23:32,INCOMING,70
ai,15-02-2019 23:29,OUTGOING,0
ai,15-02-2019 23:03,OUTGOING,0
,15-02-2019 22:42,OUTGOING,30
as,15-02-2019 22:27,OUTGOING,20
,15-02-2019 22:21,OUTGOING,19
,15-02-2019 22:21,OUTGOING,0
,15-02-2019 22:20,OUTGOING,0
ai,15-02-2019 22:00,OUTGOING,0
ai,15-02-2019 21:56,OUTGOING,0
ct,15-02-2019 21:55,OUTGOING,19
ct,15-02-2019 21:46,INCOMING,172
ai,15-02-2019 21:43,OUTGOING,0
ai,15-02-2019 21:33,OUTGOING,0
ag,15-02-2019 21:13,OUTGOING,245
ag,15-02-2019 21:09,MISSED,0
ag,15-02-2019 21:09,MISSED,0
kp,15-02-2019 21:08,INCOMING,296
kp,15-02-2019 21:07,MISSED,0
kp,15-02-2019 21:06,OUTGOING,0
kp,15-02-2019 21:05,OUTGOING,0
ag,15-02-2019 20:59,OUTGOING,67
ai,15-02-2019 20:53,OUTGOING,0
ai,15-02-2019 20:40,OUTGOING,0
ai,15-02-2019 20:39,OUTGOING,0
,15-02-2019 20:39,MISSED,0
,15-02-2019 20:37,OUTGOING,0
,15-02-2019 20:36,OUTGOING,0
,15-02-2019 20:35,OUTGOING,0
ml,15-02-2019 19:24,INCOMING,33
rc,15-02-2019 19:15,OUTGOING,25
aj,15-02-2019 19:11,INCOMING,70
aj,15-02-2019 19:10,OUTGOING,0
aj,15-02-2019 19:09,OUTGOING,0
ml,15-02-2019 19:08,INCOMING,68
rc,15-02-2019 19:03,OUTGOING,64
,15-02-2019 18:47,OUTGOING,18
ai,15-02-2019 18:34,OUTGOING,0
ct,15-02-2019 18:33,OUTGOING,19
,15-02-2019 18:32,INCOMING,5
,15-02-2019 18:30,OUTGOING,19
ai,15-02-2019 16:41,OUTGOING,0
ai,15-02-2019 14:41,OUTGOING,0
,15-02-2019 14:11,INCOMING,7
ai,15-02-2019 13:50,OUTGOING,0
ct,15-02-2019 13:50,OUTGOING,0
ai,15-02-2019 13:04,OUTGOING,0
ai,15-02-2019 13:03,OUTGOING,0
ct,15-02-2019 12:40,INCOMING,159
ct,15-02-2019 12:36,INCOMING,207
ai,15-02-2019 12:33,OUTGOING,0
ct,15-02-2019 11:06,OUTGOING,0
ct,15-02-2019 11:05,OUTGOING,0
sd,15-02-2019 11:02,OUTGOING,13
,15-02-2019 10:58,OUTGOING,20
ct,15-02-2019 10:21,INCOMING,35
ct,14-02-2019 23:05,INCOMING,29
ai,14-02-2019 22:25,INCOMING,18
ai,14-02-2019 22:12,MISSED,0
ai,14-02-2019 21:47,OUTGOING,47
as,14-02-2019 21:47,OUTGOING,26
as,14-02-2019 21:34,OUTGOING,50
,14-02-2019 21:27,MISSED,0
,14-02-2019 21:23,INCOMING,11
,14-02-2019 21:19,OUTGOING,20
as,14-02-2019 20:45,INCOMING,53
,14-02-2019 19:18,OUTGOING,22
ct,14-02-2019 19:04,OUTGOING,89
ai,14-02-2019 18:29,INCOMING,44
ai,14-02-2019 16:45,INCOMING,36
ai,14-02-2019 16:44,OUTGOING,0
,14-02-2019 15:50,ALL,0
,14-02-2019 14:27,INCOMING,208
,14-02-2019 11:55,MISSED,0
ct,14-02-2019 10:46,INCOMING,20
ct,14-02-2019 10:35,OUTGOING,0
sd,14-02-2019 10:35,OUTGOING,12
,14-02-2019 10:33,OUTGOING,10
ai,14-02-2019 10:19,OUTGOING,35
ai,14-02-2019 08:38,OUTGOING,132
ai,14-02-2019 00:11,MISSED,0
ai,14-02-2019 00:11,MISSED,0
as,13-02-2019 21:20,INCOMING,6
as,13-02-2019 21:14,INCOMING,33
ai,13-02-2019 21:01,MISSED,0
ai,13-02-2019 20:59,MISSED,0
ai,13-02-2019 20:23,INCOMING,1203
,13-02-2019 16:49,INCOMING,20
ct,13-02-2019 16:37,OUTGOING,24
,13-02-2019 16:18,INCOMING,10
,13-02-2019 16:12,INCOMING,26
,13-02-2019 15:54,OUTGOING,45
ai,13-02-2019 15:26,INCOMING,1
ai,13-02-2019 15:19,OUTGOING,0
,13-02-2019 15:18,INCOMING,14
,13-02-2019 15:18,OUTGOING,0
ai,13-02-2019 14:39,INCOMING,770
ai,13-02-2019 13:47,INCOMING,80
,13-02-2019 13:15,OUTGOING,28
ai,13-02-2019 12:05,OUTGOING,64
ai,13-02-2019 12:05,MISSED,0
ai,13-02-2019 12:00,OUTGOING,104
ai,13-02-2019 11:58,INCOMING,22
ct,13-02-2019 10:34,OUTGOING,21
ai,13-02-2019 10:27,INCOMING,369
sd,13-02-2019 10:26,OUTGOING,16
,13-02-2019 10:25,OUTGOING,9
ai,13-02-2019 09:29,OUTGOING,27
ai,13-02-2019 09:27,MISSED,0
md,13-02-2019 07:51,OUTGOING,183
md,13-02-2019 07:49,MISSED,0
,12-02-2019 20:03,OUTGOING,12
ct,12-02-2019 18:58,OUTGOING,9
,12-02-2019 18:43,OUTGOING,26
ct,12-02-2019 18:42,OUTGOING,14
ct,12-02-2019 16:25,INCOMING,20
ct,12-02-2019 16:17,OUTGOING,0
ai,12-02-2019 16:14,OUTGOING,132
,12-02-2019 15:39,OUTGOING,454
,12-02-2019 15:28,OUTGOING,102
,12-02-2019 14:56,INCOMING,33
,12-02-2019 14:42,INCOMING,5
,12-02-2019 14:36,INCOMING,23
,12-02-2019 14:34,OUTGOING,0
va,12-02-2019 12:00,INCOMING,28
ai,12-02-2019 10:57,OUTGOING,58
ai,12-02-2019 10:56,INCOMING,46
ai,12-02-2019 10:54,OUTGOING,0
ai,12-02-2019 10:53,OUTGOING,0
ai,12-02-2019 10:52,OUTGOING,0
,12-02-2019 10:16,ALL,0
,12-02-2019 10:05,INCOMING,7
sd,12-02-2019 09:58,OUTGOING,44
,12-02-2019 09:57,OUTGOING,28
ai,11-02-2019 23:19,OUTGOING,1423
